Case,Distance_mm,Mean_ADC
South_YesShield,10,87.7399267399267
South_YesShield,15,104.930735930736
South_YesShield,20,1159.84715284715
South_YesShield,25,1721.05794205794
South_YesShield,30,1890.84681984682
South_YesShield,35,1975.40792540792
South_YesShield,40,2020.10522810523
South_YesShield,45,2038.64269064269
South_NoShield,10,208.552780552781
South_NoShield,15,222.657675657676
South_NoShield,20,1140.25607725608
South_NoShield,25,1723.9706959707
South_NoShield,30,1897.15118215118
South_NoShield,35,1993.29936729937
South_NoShield,40,2079.31868131868
South_NoShield,45,2071.77922077922
North_YesShield,10,4065.57409257409
North_YesShield,15,4063.97002997003
North_YesShield,20,2927.48784548785
North_YesShield,25,2455.42490842491
North_YesShield,30,2269.84348984349
North_YesShield,35,2177.82151182151
North_YesShield,40,2133.79154179154
North_YesShield,45,2106.48351648352
North_NoShield,10,4065.11588411588
North_NoShield,15,4065.7982017982
North_NoShield,20,3013.40925740926
North_NoShield,25,2479.8961038961
North_NoShield,30,2271.86346986347
North_NoShield,35,2185.62670662671
North_NoShield,40,2138.84681984682
North_NoShield,45,2107.54945054945
